x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
116562,4.78,596,79,9,1950,325557,28.4,29.03,6.56
43583,5.39,173,21,3,1516,166079,42.02,9.17,4.8
40867,3.87,90,9,7,1476,166525,38.79,7.74,1.63
70178,9.06,247,28,9,876,198904,31.13,22.46,4.43
49567,15.11,98,8,6,1460,184862,33.87,7.96,1.49
28221,14.2,32,27,4,1140,103115,31.45,7.85,1.91
16589,2.74,63,8,5,773,64932,43.58,12.68,0.8
16880,6.65,125,17,2,1023,69239,51.84,16.52,0.9
35228,6.52,321,17,4,1560,151418,47.7,16.58,2.67
18221,3.84,63,7,3,1099,80060,32.89,14.67,4.23
17065,8.27,69,7,4,763,68149,38.32,17.64,3.57
26082,3.49,126,9,3,1101,97812,34.25,14.2,1.58
23013,1.28,107,40,11,962,89202,26.98,18.34,4.23
16981,2.05,180,18,5,674,64799,30.46,25.72,5.13
39541,1.63,319,49,5,1577,135600,33.35,31.78,6.45
78903,1.6,556,126,9,1632,222175,18.67,22.98,50.67
29896,8.15,128,18,3,660,109213,29.18,18.07,2.29
5574,2.21,12,3,3,450,23499,4.39,0.99,91.5
18432,2.4,373,78,17,633,65487,41.24,32.73,9.67
5536,4.03,119,13,6,298,18239,36.84,28.3,7.81
39205,6.43,2286,244,40,1261,103182,39.78,32.57,5.99
5044,12.83,154,22,1,459,17618,52.8,27.63,4.29
51748,3.44,819,138,6,1178,124850,19.03,44.8,14.59
44884,3.48,432,71,12,762,87074,30.36,45.81,7.39
10089,9.7,242,34,6,268,25976,27.06,45.85,2.88
11173,12.65,118,19,8,693,37083,44.75,13.35,3.6
2831,7.02,39,1,4,190,12083,29.67,16.93,50.28
